,lsa_summarization summary
18,"Investment bank Morgan Stanley has forecast that India's mobile market is likely to grow by about 40% a year until 2007.Communications Minister Dayanidhi Maran said that there is a need to fund the fast-growing mobile market.The Indian mobile market is currently dominated by four companies, Bharti Televentures which has allied itself with Singapore Telecom, Essar which is linked with Hong Kong-based Hutchison Whampoa, the Sterling group and the Tata group.
""The FDI relaxation coupled with rapid local market growth could really ignite interest in the Indian telecommunication industry,"" added Ernst and Young's Sanjay Mehta.""It is a positive development for carriers and the investment community, looking to take a longer-term view of the huge growth in the Indian telecoms market,"" said Gartner's principal analyst Kobita Desai.Key positions, such as those of chief executive, chief technology officer and chief financial officer are to be held by Indians, he added.

""We need at least $20bn (Â£10.6bn) in investment and part of this has to come as foreign direct investment,"" said Mr Maran."
19,"However, companies that decide to ""offshore"" their operations are driven not just by cost considerations.They give three key reasons for not making the move:

- call centre operations are part of their business ""core function"", 
 - they are worried about the risk of going abroad, 
 - they fear that they will damage their brand if they join the offshoring drive.This, Ms Diemont warns, is ""scary"" and not good for the bottom line either.Nearly two-thirds of all firms polled for the survey have no plans to offshore their call centres.Only 42% of them say that saving money is the main consideration when closing domestic call centre operations.Suggestions that ""outsourcing"" - relocating call centres to low-cost countries like India or South Africa - is to blame are wrong, Ms Diemont says.

But not everybody believes that outsourcing and offshoring are the solution."
20,"Rank, formerly famous for the Carry On series, will expose the shake-up at the announcement of its results on Friday, the Sunday Telegraph reported.A spokesman for the firm refused to comment on the reports, but said any results from the demerger study were likely to be set out when it unveiled its results on Friday.Speculation of a possible shake-up has mounted since Rank announced a study into a possible demerger in September.Analysts predict the firm is likely to report a slight drop in annual pre-tax profits to Â£170m from Â£194m last year.Rank 'set to sell off film unit'

Leisure group Rank could unveil plans to demerge its film services unit and sell its media business, reports claim.

Formed in the 1940s the firm was a leading UK film producer and cinema owner for many years.Advisors Goldman Sachs are understood to have valued its demerged Deluxe Film unit at Â£300m, the report added."
21,"""But growth of 0.1%... in the third quarter is still insufficient to deliver positive momentum to the labour market.""""The deterioration of the labour market does not come as a surprise,"" said Isabelle Kronawitter at Hypovereinsbank.But officials said stagnant growth was still stifling the job market.""There are clear signs of a revival in domestic demand,"" said Frank-Juergen Weise, head of the Federal Labour Agency, in a statement.The number of people out of work in Europe's largest economy has risen for the tenth straight month as growth remains stubbornly slow.

Sluggish economy hits German jobs

""
"
22,"According to state statistics body INSEE, growth for the three months to December was a seasonally-adjusted 0.7-0.8%, ahead of the 0.6% forecast.Also on Friday, France's industrial output for December was released, showing 0.7% growth.Service sector activity improved in January, hitting a seven-month high.But unemployment remains high at about 10%.
If confirmed, that would be the best quarterly showing since early 2002.Despite the apparent shortfall in annual economic growth, the good quarterly figures - a so-called ""flash estimate"" - mark a continuing trend of improving indicators for the health of the French economy.""The numbers are good,"" said David Naude, economist at Deutsche Bank."
23,"But others point out that the deficit has reached such astronomical proportions that foreigners many choose not to hold as many dollar-denominated assets, which may in turn harm growth.Imports were not affected by the dollar's weakness last year.""We expect the deficit to continue to widen in 2005 even if the dollar gets back to its downward trend,"" said economist Marie-Pierre Ripert at IXIS.
The US consumer's appetite for all things from oil to imported cars, and even wine and cheese, reached record levels last year and the figures are likely to spark fresh criticism of President Bush's economic policies.

Some economists say this may allow an upward revision of US economic growth in the fourth quarter.Meanwhile, the Bush administration argues that the US deficit reflects the fact the America is growing at faster rate than the rest of the world, spurring on more demand for imported goods.The deficit with China, up 30.5% at $162bn, was the largest ever recorded with a single country."
24,"We want them back or damages paid.However, it claimed that the court had backed its argument in four out of five key issues.The court ruling is a blow to efforts to get damages for the sale of Yugansk, which Yukos claims was illegally sold.Yugansk was auctioned to help pay off $27.5bn (Â£14.5bn) in unpaid taxes.""Our assets were illegally seized.Yukos claimed it sought help in the US because other forums - Russian courts and the European Court of Human Rights - were either unfriendly or offered less protection.Yukos had argued that a US court was entitled to declare it bankrupt before its Yugansk unit was sold, since it has local bank accounts and its chief finance officer Bruce Misamore lives in Houston."
25,"This is because of possible malfunctions with the braking systems.This could allow hydraulic fluid to leak, which could make it harder to brake or steer and could cause a crash, it warned.This is because the accelerator pedal may not work properly in extremely cold temperatures, requiring more braking.The NHTSA said a pressure accumulator in the braking system could crack during normal driving and fragments could injure people if the hood was open.In addition, the car giant is calling back 17,815 Buick Raniers, Chevrolet Trailblazers, GMC Envoys and Isuzu Ascenders from the 2005 model years because the windshield is not properly fitted and could fall out in a crash.Those vehicles with potential faults are the Chevrolet Avalanche, Express, Kodiak, Silverade and Suburban; the GMC Savana, Sierra and Yukon.

The National Highway Traffic Safety Administration (NHTSA) said the largest recall involves 155,465 pickups, vans and sports utility vehicles (SUVs)."
26,"This could see its workforce trimmed from 155,000 to 110,000 staff by 2010.It employs 50,000 staff in Kazakhstan alone, and has large operations in Romania, the Czech Republic, South Africa and the United States.
Mr Mittal told US investors that once the acquisition of International Steel Group was completed, the company would aim to reduce its workforce by between 7,000 and 8,000 annually.Many of its businesses - particularly those in eastern Europe - were previously state owned and have huge workforces.The Netherlands-based company is due to complete its $4.5bn acquisition of US firm ISG next month, making it one of the largest global firms of its kind.However, Lakshmi Mittal has told investors the combined company will have to shed thousands of jobs.""We are investing in modernisation so employees will go down,"" Mr Mittal told the conference in Chicago.

"
27,"US light crude rose $1.64 to $47.10, while Brent crude in London gained $1.32 to $44.45.

The fresh rally in crude prices followed gains on Wednesday which were triggered by large falls in US crude supplies following a cold spell in North America in January.The International Energy Agency (IEA) warned demand for Opec's crude in the first quarter would outstrip supply.""I think that prices are now beginning to set a new range and it looks like the $40 to $50 level,"" said energy analyst Orin Middleton of Barclays Capital.
Strong demand triggers oil rally

Crude oil prices surged back above the $47 a barrel mark on Thursday after an energy market watchdog raised its forecasts for global demand.

The US Department of Energy reported that crude stockpiles had fallen 1m barrels to 294.3m. On top of that, ongoing problems for beleaguered Russian oil giant Yukos have also prompted the IEA to revise its output estimates from Russia - a major non-Opec supplier.The Paris-based IEA watchdog, which advises industrialized nations on energy policy, said the upward revision was due to stronger demand from China and other Asian countries."
28,"Under President Chavez, the Venezuelan government has steadily expanded the state's involvement in the country's economy.Last month, the government said it had identified more than 500 idle farms and had yet to consider the status of a further 40,000.""As a consequence the government has taken action.""

Controversial reforms passed in 2001 give the government the right to take control of private property if it is declared idle or ownership cannot be traced back to the 19th Century.

The government is cracking down on so-called latifundios, or large rural estates, which it says are lying idle.Critics say the powers - which President Chavez argues are needed to help the country's poorest citizens and develop the Venezuelan economy - trample all over private property rights.The company pointed out that the farm, which employs 300 workers, provides meat solely for the Venezuelan market.

"
29,"But the outlook was worst for the 12-member eurozone bloc, with already sluggish growth forecasts slipping to 1.8% from 2.0% this year and 1.9% from 2.4% in 2005, the OECD said.Forecasts for Japanese growth were also scaled back to 4.0% from 4.4% this year and 2.1% from 2.8% in 2005.Overall, the report forecast total growth of 3.6% in 2004 for the 30 member countries of the OECD, slipping to 2.9% next year before recovering to 3.1% in 2006.US growth would reach 4.4% in 2004, but fall to 3.3% next year from a previous estimate of 3.7%, the OECD said.The OECD highlighted current depressed household expenditure in Germany and the eurozone's over-reliance on export-led growth.
However, the report warned: ""It remains to be seen whether continental Europe will play a strong supportive role through a marked upswing of final domestic demand.""In its latest bi-annual report, the OECD cut its growth predictions for the world's main industrialised regions."
30,"""It is still looking good,"" he told Reuters.""Ireland ticks all the boxes as far as international investors are concerned,"" Roy Asher, chief investment officer of Hibernian Investment Managers, told Reuters.""

Bernard McAlinden, head of equity research at NCB Stockbrokers, said equities represented good value compared to other investments.""We have seen good economic data on Ireland which benefits the financial stocks.""""Buoyant economic conditions are set to continue in Ireland over the next few years and Irish equities continue to offer quality growth at a reasonable valuation.Ireland's economic 'miracle' is enjoying a second wind, with 5% growth forecast for 2005 and 2006.The economy cooled markedly between 2001 and 2003 after enjoying spectacular growth of more than 10% in 2000."
31,"Sumitomo bosses told counterparts at UFJ of its decision on Friday, clearing the way for it to conclude a 3 trillion yen ($29bn) deal with Mitsubishi.The deal would create the world's biggest bank with assets of about 189 trillion yen ($1.8 trillion).""We believe the market and most investors accept a UFJ-MTFG merger,"" Sumitomo said in a statement.""Given the ongoing integration of UFJ and MTFG operations, persisting with our proposal may not be in the best interests of our shareholders or UFJ's.""

Mitsubishi's takeover of UFJ - which will be Japan's largest-ever takeover deal - will still have to be approved by shareholders of the two firms.The two are set to merge their venture capital operations and there has been speculation that this could lead to a full-blown merger.However, this is expected to be a formality."
32,"""Resources are more than enough to reduce poverty and there is no need for more tax reforms but a better distribution,"" deputy planning director Jose Leibovich said.

With a good distribution of such subsidies and economic growth of just 2%, by 2019 poverty could fall as low as 15.3%, he said.
Sound distribution of the cash could cut poverty levels to 36% from 53%, the government believes.Government expenditure in areas such as pensions, public services, education, property and health should be revised, Mr Leibovich said.A total of 24.2 trillion pesos ($10.2bn; Â£5.5bn) is earmarked for subsidies for the poor, the government department for planning said.He added that the government is now examining the report, but warned there would be no easy solution to the problem.However, some large properties are paying less in tax as they are situated inside poor areas, which benefit from cheaper utilities such as electricity and water, government research found."
33,"A tie-up, seen as Rover's last chance to save its Longbridge plant, has been pushed by UK Chancellor Gordon Brown.Rover confirmed the tie-up would take place ""not very far away from this time"".

He said investment in new models was needed to ensure the future of the Birmingham plant.Shanghai Automotive Industry Corp plans to shift production of the Rover 25 to China and export it to the UK, sources close to the negotiations tell the FT.Rover bosses have said they are ""confident"" the Â£1bn ($1.9bn) investment deal would be signed in March or early April.

""SAIC is extremely concerned to ensure that its money is used to invest in the business rather than be distributed to the shareholders,"" the newspaper quotes a source close to the Chinese firm.Rover and SAIC signed a technology-sharing agreement in August.
"
34,"The company said the US Congressional elections and the FIFA World Cup are likely to present advertising opportunities in the near future.Chief Executive Martin Sorrell on Friday told Reuters news agency that WPP had submitted a proposal for United Business Media's NOP World market research unit.Events such as the Olympics helped boost WPP's profits in 2004.Ad firm WPP's profits surge 15%

UK advertising giant WPP has posted larger-than-expected annual profits and predicted that it will outperform the market in 2005.

The long-term outlook looks ""very favourable"" because of media and technology developments and the strength of the US economy, WPP said.
Pre-tax profits rose 15% from a year ago to reach Â£546m ($1.04bn), ahead of average analysts' forecasts of Â£532m. Revenues were Â£4.3bn while the firm's operating margins were 14.1%, which it said could reach 14.8% by 2006.It also includes the firms Young & Rubicam and J Walter Thompson."
35,"Big US firms already have to meet the requirements, but smaller ones and foreign-based firms which list their shares on US stock markets originally had until the middle of this year.

US gives foreign firms extra time

Foreign firms have been given an extra year to meet tough new corporate governance regulations imposed by the US stock market watchdog.

Many foreign firms had protested that the SEC was imposing an unfair burden.but this extension will provide additional time for those issuers to take a good hard look at their internal controls,"" said Donald Nicolaisen, the SEC's chief accountant.
""I don't underestimate the effort (compliance) will require...Over the past few months, delegations of European and other business leaders have been heading to the SEC's Washington DC headquarters to protest.""I think this signifies a change of heart at the SEC,"" CBI director-general Sir Digby Jones told the BBC's Today programme."
36,"Now Mr Tsutsumi faces criminal charges and the possibility of a prison sentence because he made it look as if the 10 biggest shareholders owned less than this amount.There was a time when Mr Tsutsumi seemed untouchable.""I felt enormous pressure when I dined with him and it was nothing but pain,"" Tsutsumi told a weekly magazine in 1987.Under Japanese stock market rules, no listed company can be more than 80% owned by its 10 largest shareholders.Yoshiaki Tsutsumi was once ranked as the world's richest man and ran a business spanning hotels, railways, construction and a baseball team.The illegitimate third son of a rich father, who made his money buying up property as Japan rebuilt after World War II, he has described the demands his father made.""He scolded me for pouring too much soy sauce or told me fruit was not for children."
37,"The company also said it would resume paying a dividend, after two years in which it focused on cutting debt.
""It's a seminal achievement that they cut debt so low.A year ago, debt was more than 11bn euros higher.This was more than expected and helped to bring debt down to 35.8bn euros.

Net profit came in at 1.4bn euros (Â£960m; $1.85bn), a dramatic change from the loss of 364m euros in 2003.That gives them some head room to invest in growth now,"" said Hannes Wittig, telecoms analyst at Dresdner Kleinwort Wasserstein.Sales rose 2.8% to 14.96bn euros."
38,"Chinese wine sales are growing, the US Agriculture Department said, with wine sales in 2003 up 25% at 61.1bn yuan.

The consumption of wine in China is still low, at just 0.22 litres per capita, said the US Agriculture Department.Chinese wine tempts Italy's Illva

Italy's Illva Saronno has agreed to buy 33% of Changyu, the largest wine maker in China.

Anheuser-Busch, Heineken and Scottish & Newcastle have all invested in the Chinese beer industry in the last two years and now Illva Saronno is betting on the Chinese wine market.This compares with 59 litres in France, 12 litres in the US and three litres in Japan.
Changyu said in a statement to the Shenzhen stock exchange that Illva will pay 481.42m yuan ($58.16m; Â£30.7m), once the government approves the deal.China is encouraging state-owned companies to sell shares to foreign investors."
39,"Umbro, which recently lost sponsorship deals with Chelsea and Celtic, said on Thursday it had signed a new four-year agreement with Scottish club Rangers.In January, Umbro announced its sponsorship agreement with Chelsea, which gave Umbro the lucrative right to make replica shirts, would end in 2006, five years earlier than expected.Shares in Umbro were up 1.76% at 115.5 pence in morning trade.
Umbro supplies more than 150 teams across the world including the national sides of Ireland, Sweden and Norway.It hopes 2005 sales will benefit from the launch of a new England replica shirt ahead of the 2006 World Cup.The firm, which is to receive a payment from Chelsea of Â£24.5m, said it is ""appraising a number of additional investment opportunities as a result of this compensation"" .The firm, reporting its first annual results since listing on the London Stock Exchange in June, said the UK market had seen sales growth of 8% last year."
40,"He called on Congress to cut promised benefits for retirees, as the promised benefits for the soon-to-retire baby boom generation were much larger than the government could afford.

The government program faces severe financial strains in coming decades as the massive baby-boom generation retires.If existing promises need to be changed, those changes should be made sooner rather than later,"" Mr Greenspan said.""I fear that we may have already committed more physical resources to the baby-boom generation in its retirement years than our economy has the capacity to deliver.Despite the dire warnings, Mr Greenspan did offer some good news for the short term.Fed chief warning on US deficit

Federal Reserve chairman Alan Greenspan has warned that allowing huge US budget deficits to continue could have ""severe"" consequences.

He also urged Congress to reinstate lapsed rules that require tax cuts and spending to be offset elsewhere in the budget in an effort to prevent the US heading further into the red."
41,"We continue to make progress and great strides have already been made,"" said Mr Spindler.UK Coal said it was making ""significant progress"" in shaking up the business.It had introduced new wage structures, a new daily maintenance regime for machinery at its mines and methods to continue mining in adverse conditions.""We have a long journey ahead to fix these issues.In early trade on Thursday, its shares were down 10% at 119 pence.It expected 2005 to be a ""transitional year"" and to return to profitability in 2006.

UK Coal operates 15 deep and surface mines across Nottinghamshire, Derbyshire, Leicestershire, Yorkshire, the West Midlands, Northumberland and Durham.
"
42,"The move comes as the conservative country inches open the door to working women.But progress has been slow, reports from the country say.

""I am proud to mention here that this year we shall have women working in the Ministry of Foreign Affairs for the first time.""
Saudi ministry to employ women

Women will be employed in Saudi Arabia's foreign ministry for the first time this year, Foreign Minister Prince Saud Al-Faisal has been reported as saying.

Last year, Crown Prince Abdullah, the de-facto ruler, told government departments to put plans in place for employing women.Earlier this week, the local Arab News said Labour Minister Ghazi al-Gosaibi had ""caused uproar"" when he said his ministry was having difficulty hiring women because they demanded segregated offices."
43,"Gross domestic product fell by 0.1% in the last three months of 2004.Gross domestic product measures the overall value of goods and services produced in a country.Figures released by the government's Cabinet Office showed that GDP, on an annualised basis, fell 0.5% in the last three months of 2004.The fall reflects weak exports and a slowdown in consumer spending, and follows similar falls in GDP in the two previous quarters.The Tokyo stock market fell after the figures were announced, but rose again on a widespread perception that the economy will recover later this year.However, the economy's fragile recovery remains dependent on an upturn in consumer spending, a fall in the value of the yen and an improvement in global economies.Japan's economy grew 2.6% overall last year - fuelled by a strong performance in the first few months - and is forecast to see growth of 2.1% in 2005."
44,"US light sweet crude futures jumped to $53.09 a barrel in New York before closing at $53.03.US crude prices surge above $53

US crude prices have soared to fresh four-month highs above $53 in the US as refinery problems propelled petrol prices to an all-time high.

The gains tracked a surge in US gasoline futures to a record high of $1.4850 a gallon.""

Elsewhere, a refinery in Houston was closed due to mechanical problems, while on Tuesday production at BP's Texas City refinery was taken down for a short time.Ed Silliere, analyst at Energy Merchant, added: ""Gasoline is up because of the refinery issues in Texas, which means there will be a scramble for product in the (US) Gulf Coast.The jump followed a fire at Western Refining Company's refinery in Texas, which shut down petrol production.A spokesman for the group was unable to say when the production unit would be back up and running."
45,"The economy has grown for six quarters but growth slowed dramatically in the last quarter amid weaker global demand.Growth slowed to 0.3% in the quarter ending September 30, down from 6.3% in the first quarter of 2004.According to figures from the Ministry of Economy, Trade and Industry (METI), the decline was led by a fall in demand for electronic parts for mobile phones and digital televisions.Japan's government remains optimistic due to strong domestic demand.

Japanese government officials played down the latest data, arguing that domestic consumer demand was still resilient.The comparatively weak economic date preyed on shares with the Nikkei down 1% in afternoon trade.
so I don't think one can say that conditions have worsened just because of the fall in October,"" said a METI official."
