,text_matching_algorithm summary
10,"Ask Jeeves tips online ad revival

Ask Jeeves has become the third leading online search firm this week to thank a revival in internet advertising for improving fortunes.

Late last year, marketing company Doubleclick, one of the leading providers of online advertising, warned that some or all of its business would have to be put up for sale.During the same quarter, Yahoo earned $187m, again tipping a resurgence in online advertising.

Its $17m profit for the quarter was dwarfed by the $204m announced by rival Google earlier in the week.The firm's revenue nearly tripled in the fourth quarter of 2004, exceeding $86m (Â£46m).Neither Ask Jeeves nor Doubleclick thrilled investors with their profit news, however.But on Thursday, it announced that a sharp turnaround had brought about an unexpected increase in profits."
11,"Indonesians face fuel price rise

Indonesia's government has confirmed it is considering raising fuel prices by as much as 30%.

It spent 59.2 trillion rupiah ($6.58bn; Â£3.5bn) on fuel subsidies in 2004, a sum far in excess of its original projection of 14.5 trillion rupiah.Indonesia pays subsidies to importers in order to stabilise domestic fuel prices, but higher oil prices have forced the government to spend more on holding prices down.President Susilo Bambang Yudhoyono's government has said it wants to curb fuel subsidies and direct the money into aid programmes for the poor.The BBC's correspondent in Jakarta, Rachel Harvey, told World Business Report that there was likely to be a strong public reaction to any price rise.Since President Yudhoyono's government came to power in October, it has indicated its intention of raising domestic fuel prices by cutting subsidies.Indonesia's previous government, led by President Megawati Sukarnoputri, also attempted to cut subsidies in 2003, but was forced to back down in the face of public protests.
"
12,"Peugeot deal boosts Mitsubishi

Struggling Japanese car maker Mitsubishi Motors has struck a deal to supply French car maker Peugeot with 30,000 sports utility vehicles (SUV).

Mitsubishi Motors has forecast a net loss of 472bn yen in its current financial year to March 2005.Last month, it signed a production agreement with Japanese rival Nissan Motor to supply it with 36,000 small cars for sale in Japan.The deal with Peugeot was celebrated by Mitsubishi's newly-appointed chief executive Takashi Nishioka, who took over after three top bosses stood down last month to shoulder responsibility for the firm's troubles.Last month it said it was looking for a further 540bn yen ($5.2bn; Â£2.77bn) in fresh financial backing, half of it from other companies in the Mitsubishi group.As a result, the Japanese car maker has sought a series of financial bailouts.Its sales have slid 41% in the past year, catalysed by the revelation that the company had systematically been hiding records of faults and then secretly repairing vehicles."
13,"Telegraph newspapers axe 90 jobs

The Daily and Sunday Telegraph newspapers are axing 90 journalist jobs - 17% of their editorial staff.

Many newspapers are investing in new printing machinery that enables them to print more colour pages, or in some cases, have colour on every page.The cuts come against a background of fierce competition for readers and sluggish advertising revenues amid competition from online advertising.The National Union of Journalists has called on the management to recall the notice of redundancy by midday on Monday or face a strike ballot.

""Journalists are the lifeblood of any newspaper, and maintaining the quality of The Daily Telegraph and The Sunday Telegraph for our readers is vital,"" he said.""However, action to improve our production capability and secure our titles against the competition is also vital.""Some broadsheet newspapers - especially those which have not moved to a tabloid format - have suffered circulation declines, which are hitting revenues."
14,"However, only scheduled flight operators were obliged to offer compensation in cases of overbooking and they did not have to offer compensation for flight cancellations.

In addition, if a flight is cancelled or delayed for more than two hours through the fault of the airline, all passengers must be paid compensation.

Overbooking can often lead to 'bumping' - when a passenger is moved to a later flight.The EU decided to increase passenger compensation in a bid to deter airlines from deliberately overbooking flights.When this happens against a passenger's will, airlines will now have to offer compensation.""We reckon it's going to cost European air passengers - not the airlines, the airlines have no money, it has to be paid by passengers - 1.5bn euros, that's over Â£1bn a year loaded onto European passengers,"" Mr Clarke said.Air passengers win new EU rights

Air passengers who are unable to board their flights because of overbooking, cancellations or flight delays can now demand greater compensation.

"
15,"A low exchange rate - China's yuan is pegged to a rate of 8.28 to the dollar, which seems to be in relentless decline - means Chinese exports are cheap on world markets.In theory, the government has a 7% growth target, but continues to insist that the overshoot does not mean a ""hard landing"" in the shape of an overbalancing economy.The breakneck pace of economic expansion has kept growth above 9% for more than a year.China keeps tight rein on credit

China's efforts to stop the economy from overheating by clamping down on credit will continue into 2005, state media report.

Rapid tooling-up of China's manufacturing sector means a massive demand for energy - one of the factors which has kept world oil prices sky-high for most of this year.The curbs were introduced earlier this year to ward off the risk that rapid expansion might lead to soaring prices.Industrial output grew 15.7% in the year to October, down from 23% in February, and inflation slowed to 4.3% - although retail sales are still booming.
"
16,"On Tuesday, the company's administrator, turnaround expert Enrico Bondi, sued Morgan Stanley, its former banker, to return 136m euros relating to a 2003 bond deal.But a crucial factor for the company's future is the legal unwinding of its intensely complex financial position.That brought to 49 the number of banks that Mr Bondi has sued, a mass of legal action that could bring in as much as 3bn euros.And criminal cases against the company's former management are proceeding separately.
Its brands, well-known in Italy and overseas, have continued to perform strongly, however, and have barely lost revenue since the scandal broke.

Overall, the company's debt is close to 12bn euros, and is falling only slowly.The firm sought bankruptcy protection in December 2003 after disclosing a 4bn-euro hole in its accounts."
17,"India's rupee hits five-year high

India's rupee has hit a five-year high after Standard & Poor's (S&P) raised the country's foreign currency rating.

India's foreign currency rating is now one notch below investment grade, which starts at 'BBB-'.""The upgrade is positive and basically people will use it as an excuse to come back to India,"" said Bhanu Baweja, a strategist at UBS.With Indian assets now seen as less of a gamble, more cash is expected to flow into its markets, buoying the rupee.

The increase has put it on the same level as Romania, Egypt and El Salvador, and one level below Russia.
S&P, which rates borrowers' creditworthiness, lifted India's rating by one notch to 'BB+'.The rupee climbed to 43.305 per US dollar on Thursday, up from a close of 43.41."
18,"""It is a positive development for carriers and the investment community, looking to take a longer-term view of the huge growth in the Indian telecoms market,"" said Gartner's principal analyst Kobita Desai.The government hopes to increase the number of mobile users from 95 million to between 200 and 250 million by 2007.India widens access to telecoms

India has raised the limit for foreign direct investment in telecoms companies from 49% to 74%.

""We need at least $20bn (Â£10.6bn) in investment and part of this has to come as foreign direct investment,"" said Mr Maran.Investment bank Morgan Stanley has forecast that India's mobile market is likely to grow by about 40% a year until 2007.The decision to raise the limit for foreign investors faced considerable opposition from the communist parties, which give crucial support to the coalition headed by Prime Minister Manmohan Singh.Key positions, such as those of chief executive, chief technology officer and chief financial officer are to be held by Indians, he added.

"
19,"They give three key reasons for not making the move:

- call centre operations are part of their business ""core function"", 
 - they are worried about the risk of going abroad, 
 - they fear that they will damage their brand if they join the offshoring drive.There are ""no big differences in wait time and call resolution"" between call centres based in Europe or North America and those in developing countries around the world.In what Dimension Data calls an ""alarming development"", the average induction time for a call centre worker fell last year from 36 to just 21 days, leaving ""agents not equipped to deal with customers"".And if you work in a call centre: did your training prepare you for your job?
Call centre users 'lose patience'

Customers trying to get through to call centres are getting impatient and quicker to hang up, a survey suggests.

Only 42% of them say that saving money is the main consideration when closing domestic call centre operations.As a result, call centres have a high ""churn rate"", with nearly a quarter of workers throwing in the towel every year, which in turn forces companies to pay for training new staff."
20,"Rank 'set to sell off film unit'

Leisure group Rank could unveil plans to demerge its film services unit and sell its media business, reports claim.

Last year it made profits of Â£21.5m on a turnover of Â£392.1m and experts suggest its success in moving to DVDs from VHS video could make it an attractive target for a private equity buyer.It has now diversified into a range of other leisure activities - mainly in the UK - including hotels, roadside service areas and holiday centres.Analysts predict the firm is likely to report a slight drop in annual pre-tax profits to Â£170m from Â£194m last year.Since Mike Smith's appointment as chief executive in 1999, the group has focused on fewer businesses and embarked on a major cost-cutting programme which has seen it dispose of a number of businesses, including the Odeon cinema chain and the Pinewood studios.Rank now aims to concentrate on its gaming, bars and hotels business, including extending its Hard Rock brand to its casinos - trials of which have been a success.Formed in the 1940s the firm was a leading UK film producer and cinema owner for many years."
21,"The seasonally adjusted rise showed a smaller rise than expected, as government measures to encourage job creation began to take effect.With unemployment stuck above 4 million for years, the government of Chancellor Gerhard Schroeder has put job creation at the top of the agenda.Strikes in a number of industries, notably among the country's iconic carmakers, have demonstrated the displeasure - as well as fears about further job losses as outsourcing takes hold.The number of people out of work in Europe's largest economy has risen for the tenth straight month as growth remains stubbornly slow.

""But growth of 0.1%... in the third quarter is still insufficient to deliver positive momentum to the labour market.""But officials said stagnant growth was still stifling the job market.High oil prices and the soaring euro - which damages the competitiveness of exporters - were also having a negative effect, he said."
22,"Despite the apparent shortfall in annual economic growth, the good quarterly figures - a so-called ""flash estimate"" - mark a continuing trend of improving indicators for the health of the French economy.Mixed signals from French economy

The French economy picked up speed at the end of 2004, official figures show - but still looks set to have fallen short of the government's hopes.

""They send a positive signal of a rebound in output... and open the way for a continuation in that trend into the New Year.""The government is reiterating a 2.5% target for 2005, while the European Central Bank is making positive noises for the 12-nation eurozone as a whole.It leaves GDP up 2.3% for the full year, but short of the 2.5% which the French government had predicted.

According to state statistics body INSEE, growth for the three months to December was a seasonally-adjusted 0.7-0.8%, ahead of the 0.6% forecast.Also on Friday, France's industrial output for December was released, showing 0.7% growth."
23,"The Commerce Department said the trade deficit for all of last year was 24.4% above the previous record - 2003's imbalance of $496.5bn.The US consumer's appetite for all things from oil to imported cars, and even wine and cheese, reached record levels last year and the figures are likely to spark fresh criticism of President Bush's economic policies.

For example, they believe China's currency policy - which US manufacturers claim has undervalued the yuan by as much as 40% - has given China's rapidly expanding economy an unfair advantage against US competitors.

""We expect the deficit to continue to widen in 2005 even if the dollar gets back to its downward trend,"" said economist Marie-Pierre Ripert at IXIS.
Foreign oil exports surged by 35.7% to a record $180.7bn, reflecting the rally in global oil prices and increasing domestic demand.US trade gap hits record in 2004

For all of 2004, US exports rose 12.3% to $1.15 trillion, but imports rose even faster by 16.3% to a new record of $1.76 trillion."
24,"Yukos had argued that a US court was entitled to declare it bankrupt before its Yugansk unit was sold, since it has local bank accounts and its chief finance officer Bruce Misamore lives in Houston.Yukos loses US bankruptcy battle

A judge has dismissed an attempt by Russian oil giant Yukos to gain bankruptcy protection in the US.

The US court's jurisdiction had been challenged by Deutsche Bank and Gazpromneft, a former unit of Russian gas monopoly Gazprom which is due to merge with Rosneft.The court ruling is a blow to efforts to get damages for the sale of Yugansk, which Yukos claims was illegally sold.""I pride myself on heading for 15 years a number of successful companies and helping other enterprises rise from their knees,"" he told a Russian court.

In her ruling, the judge acknowledged that ""it appears likely that agencies of the Russian government have acted in a manner that would be considered confiscatory under United States law"".Yukos filed for Chapter 11 protection in Houston in an unsuccessful attempt to halt the auction of its Yugansk division by the Russian authorities."
25,"The world's biggest car maker is grappling with losses in its European business, weak US sales and now a product recall.In addition, the car giant is calling back 17,815 Buick Raniers, Chevrolet Trailblazers, GMC Envoys and Isuzu Ascenders from the 2005 model years because the windshield is not properly fitted and could fall out in a crash.The affected vehicles in the product recall are from the 2004 and 2005 model years, GM said.News of the recall follows an announcement last month that GM expects earnings this year be lower than in 2004.The NHTSA said a pressure accumulator in the braking system could crack during normal driving and fragments could injure people if the hood was open.GM is also recalling 19,924 Cadillac XLR coupes, SRX SUVs and Pontiac Grand Prix sedans from the 2004 model year.This could allow hydraulic fluid to leak, which could make it harder to brake or steer and could cause a crash, it warned."
26,"Steel firm 'to cut' 45,000 jobs

Mittal Steel, one of the world's largest steel producers, could cut up to 45,000 jobs over the next five years, its chief executive has said.

""We are trying to create a sustainable steel industry and if we want to do that, we have to invest in new technology,"" a spokesman said.The Netherlands-based company is due to complete its $4.5bn acquisition of US firm ISG next month, making it one of the largest global firms of its kind.Mr Mittal told US investors that once the acquisition of International Steel Group was completed, the company would aim to reduce its workforce by between 7,000 and 8,000 annually.Many of its businesses - particularly those in eastern Europe - were previously state owned and have huge workforces.A combination of Mittal Steel and ISG would have annual sales of $32bn (Â£16.7bn; 24.1bn euros) and a production capacity of 70 million tonnes.

The Indian-born magnate did not say where the job losses would fall.

"
27,"Strong demand triggers oil rally

Crude oil prices surged back above the $47 a barrel mark on Thursday after an energy market watchdog raised its forecasts for global demand.

The US Department of Energy reported that crude stockpiles had fallen 1m barrels to 294.3m. On top of that, ongoing problems for beleaguered Russian oil giant Yukos have also prompted the IEA to revise its output estimates from Russia - a major non-Opec supplier.The fresh rally in crude prices followed gains on Wednesday which were triggered by large falls in US crude supplies following a cold spell in North America in January.The IEA raised its estimate of 2005 oil demand growth by 80,000 barrels a day to 84 million barrels a day.The Paris-based IEA watchdog, which advises industrialized nations on energy policy, said the upward revision was due to stronger demand from China and other Asian countries.The International Energy Agency (IEA) warned demand for Opec's crude in the first quarter would outstrip supply.US light crude rose $1.64 to $47.10, while Brent crude in London gained $1.32 to $44.45.

"
28,"UK firm faces Venezuelan land row

Venezuelan authorities have said they will seize land owned by a British company as part of President Chavez's agrarian reform programme.

""

Controversial reforms passed in 2001 give the government the right to take control of private property if it is declared idle or ownership cannot be traced back to the 19th Century.

Critics say the powers - which President Chavez argues are needed to help the country's poorest citizens and develop the Venezuelan economy - trample all over private property rights.Under President Chavez, the Venezuelan government has steadily expanded the state's involvement in the country's economy.According to Reuters, they plan to seize 12,900 acres (5,200 hectares) from the 32,000 acre (13,000 hectare) farm.

But a spokesman added: ""Agroflora is absolutely confident that what it has submitted will demonstrate the legality of its title to the land.""Officials claim that Agroflora does not possess valid documents proving its ownership of the land in question."
29,"Soaring oil 'hits world economy'

The soaring cost of oil has hit global economic growth, although world's major economies should weather the storm of price rises, according to the OECD.

""There are nonetheless good reasons to believe that despite recent oil price turbulence the world economy will regain momentum in a not-too-distant future,"" said Jean-Philippe Cotis, the OECD's chief economist.China's booming economy and a ""spectacular comeback"" in Japan - albeit one that has faltered in recent months - would help world economic recovery, the OECD said.""The recovery that was underway, and has been interrupted a bit by the oil shock this year, would then regain momentum in the course of 2005.""Overall, the report forecast total growth of 3.6% in 2004 for the 30 member countries of the OECD, slipping to 2.9% next year before recovering to 3.1% in 2006.If the oil price does not rise any further, then we think the shock can be absorbed within the next few quarters,"" Vincent Koen, a senior economist with the OECD, told the BBC's World Business Report.""The oil shock is not enormous by historical standards - we have seen worse in the seventies."
30,"Irish markets reach all-time high

Irish shares have risen to a record high, with investors persuaded to buy into the market by low inflation and strong growth forecasts.

""Buoyant economic conditions are set to continue in Ireland over the next few years and Irish equities continue to offer quality growth at a reasonable valuation.The economy is set for strong growth in 2005 while interest rates remain low.

Ireland's economic 'miracle' is enjoying a second wind, with 5% growth forecast for 2005 and 2006.Telecoms firm Eircom, which recently revealed that it would re-enter the Irish mobile phone market, hit a yearly high.The economy cooled markedly between 2001 and 2003 after enjoying spectacular growth of more than 10% in 2000.The ISEQ index of leading shares closed up 23 points to 6661.89 on Thursday, fuelled by strong growth in banking and financial stocks."
31,"Japanese banking battle at an end

Japan's Sumitomo Mitsui Financial has withdrawn its takeover offer for rival bank UFJ Holdings, enabling the latter to merge with Mitsubishi Tokyo.

""

Mitsubishi's takeover of UFJ - which will be Japan's largest-ever takeover deal - will still have to be approved by shareholders of the two firms.The deal would create the world's biggest bank with assets of about 189 trillion yen ($1.8 trillion).Sumitomo, Japan's third-largest bank, tabled a higher offer for UFJ than its rival, valuing the company at $35bn.

UFJ Holdings, Japan's fourth-largest bank, has been at the centre of a fierce bid battle over the last year.Sumitomo's exit ends the most high profile fight in Japanese bank history.

Sumitomo bosses told counterparts at UFJ of its decision on Friday, clearing the way for it to conclude a 3 trillion yen ($29bn) deal with Mitsubishi."
32,"Rich grab half Colombia poor fund

Half of the money put aside by the Colombian government to help the country's poor is benefiting people who do not need it, a study has found.

However, some large properties are paying less in tax as they are situated inside poor areas, which benefit from cheaper utilities such as electricity and water, government research found.Sound distribution of the cash could cut poverty levels to 36% from 53%, the government believes.A total of 24.2 trillion pesos ($10.2bn; Â£5.5bn) is earmarked for subsidies for the poor, the government department for planning said.With a good distribution of such subsidies and economic growth of just 2%, by 2019 poverty could fall as low as 15.3%, he said.
""Resources are more than enough to reduce poverty and there is no need for more tax reforms but a better distribution,"" deputy planning director Jose Leibovich said.

Colombia has a population of about 44 million and half lives below poverty line."
33,"Rover deal 'may cost 2,000 jobs'

Some 2,000 jobs at MG Rover's Midlands plant may be cut if investment in the firm by a Chinese car maker goes ahead, the Financial Times has reported.

""SAIC is extremely concerned to ensure that its money is used to invest in the business rather than be distributed to the shareholders,"" the newspaper quotes a source close to the Chinese firm.Transport & General Worker's Union general secretary Tony Woodley repeated his view on Friday that all mergers led to some job cuts.Meanwhile, according to Chinese state press reports, small state-owned carmaker Nanjing Auto is in negotiations with Rover and SAIC to take a 20% stake in the joint venture.He said investment in new models was needed to ensure the future of the Birmingham plant.SAIC was unavailable for comment on the job cuts when contacted by BBC News.""This is a very crucial and delicate time and our efforts are targeted to securing new models for the company which will mean jobs for our people,"" he said."
34,"Pre-tax profits rose 15% from a year ago to reach Â£546m ($1.04bn), ahead of average analysts' forecasts of Â£532m. Revenues were Â£4.3bn while the firm's operating margins were 14.1%, which it said could reach 14.8% by 2006.Ad firm WPP's profits surge 15%

UK advertising giant WPP has posted larger-than-expected annual profits and predicted that it will outperform the market in 2005.

During the year WPP bought US rival Grey Global, creating a giant big enough to rival sector leader Omnicom.

Chief Executive Martin Sorrell on Friday told Reuters news agency that WPP had submitted a proposal for United Business Media's NOP World market research unit.Analysts say the unit sell could sell for up to Â£350m. WPP in recent years has also bought firms such as Ogilvy & Mather and Cordiant Communications.The long-term outlook looks ""very favourable"" because of media and technology developments and the strength of the US economy, WPP said.
The company said the US Congressional elections and the FIFA World Cup are likely to present advertising opportunities in the near future."
35,"US gives foreign firms extra time

Foreign firms have been given an extra year to meet tough new corporate governance regulations imposed by the US stock market watchdog.

The SEC said it had taken into consideration the fact that foreign companies were already working to meet more onerous financial reporting rules in their home countries.They say the burden is too expensive and the timescale too short and some, particularly the UK's CBI, warned that companies would choose to let their US listings drop rather than get in line with section 404.Section 404 of the Sox Act, as the legislation is nicknamed, calls for all firms to certify that their financial reporting is in line with US rules.Big US firms already have to meet the requirements, but smaller ones and foreign-based firms which list their shares on US stock markets originally had until the middle of this year.

but this extension will provide additional time for those issuers to take a good hard look at their internal controls,"" said Donald Nicolaisen, the SEC's chief accountant.
The European Union, in particular, was imposing new international financial reporting standards in 2005, it noted."
36,"Inheriting a large property business from his father in the 1960s, he became one of Japan's most powerful industrialists, with close connections to many of the country's leading politicians.The illegitimate third son of a rich father, who made his money buying up property as Japan rebuilt after World War II, he has described the demands his father made.Mr Tsutsumi's fall from grace follows the arrests of several other top executives in Japan as the authorities try to curb the murky business practices which were once widespread in Japanese companies.Yoshiaki Tsutsumi was once ranked as the world's richest man and ran a business spanning hotels, railways, construction and a baseball team.Last year, twelve managers from Mitsubishi Motors were charged with covering up safety defects in their vehicles and three executives from Japan's troubled UFJ bank were charged with concealing the extent of the bank's bad loans.
Under Japanese stock market rules, no listed company can be more than 80% owned by its 10 largest shareholders.But last year, he was forced to resign from all the posts he held in his business empire, after being accused of falsifying the share-ownership structure of Seibu Railways, one of his companies."
37,"Deutsche Telekom saw strong fourth quarter profits on the back of upbeat US mobile earnings and better-than-expected asset sales.

T-Mobile USA, the company's American mobile business, made a strong contribution to profits.""It's a seminal achievement that they cut debt so low.A year ago, debt was more than 11bn euros higher.Deutsche Telekom sees mobile gain

German telecoms firmThe company also said it would resume paying a dividend, after two years in which it focused on cutting debt.
This was more than expected and helped to bring debt down to 35.8bn euros.

"
38,"Chinese wine sales are growing, the US Agriculture Department said, with wine sales in 2003 up 25% at 61.1bn yuan.

Chinese wine tempts Italy's Illva

Italy's Illva Saronno has agreed to buy 33% of Changyu, the largest wine maker in China.

Yantai State Asset Management Bureau - a government agency in the north-eastern city of Yantai - owns 55% of Changyu.The state agency will also sell 10% of its stake in Changyu to another overseas company, although it didn't say who.Changyu said in a statement to the Shenzhen stock exchange that Illva will pay 481.42m yuan ($58.16m; Â£30.7m), once the government approves the deal.The consumption of wine in China is still low, at just 0.22 litres per capita, said the US Agriculture Department.Anheuser-Busch, Heineken and Scottish & Newcastle have all invested in the Chinese beer industry in the last two years and now Illva Saronno is betting on the Chinese wine market."
39,"Umbro profits lifted by Euro 2004

UK sportswear firm Umbro has posted a 222% rise in annual profit after sales of replica England football kits were boosted by the Euro 2004 tournament.

The firm, reporting its first annual results since listing on the London Stock Exchange in June, said the UK market had seen sales growth of 8% last year.The firm, which is to receive a payment from Chelsea of Â£24.5m, said it is ""appraising a number of additional investment opportunities as a result of this compensation"" .In January, Umbro announced its sponsorship agreement with Chelsea, which gave Umbro the lucrative right to make replica shirts, would end in 2006, five years earlier than expected.It hopes 2005 sales will benefit from the launch of a new England replica shirt ahead of the 2006 World Cup.Chief executive Peter McGuigan said the firm plans to grow sales both in the UK and internationally.

Umbro, which recently lost sponsorship deals with Chelsea and Celtic, said on Thursday it had signed a new four-year agreement with Scottish club Rangers."
