,LexRank_algorithm summary
10,"Late last year, marketing company Doubleclick, one of the leading providers of online advertising, warned that some or all of its business would have to be put up for sale.Its $17m profit for the quarter was dwarfed by the $204m announced by rival Google earlier in the week.Analysts attributed the falls to excessive expectations in some quarters, fuelled by the dramatic outperformance of Google on Tuesday.
Ask Jeeves tips online ad revival

Ask Jeeves has become the third leading online search firm this week to thank a revival in internet advertising for improving fortunes.

The trend has taken hold relatively quickly.During the same quarter, Yahoo earned $187m, again tipping a resurgence in online advertising.

Ask Jeeves, once among the best-known names on the web, is now a relatively modest player."
11,"Indonesians face fuel price rise

Indonesia's government has confirmed it is considering raising fuel prices by as much as 30%.

""The (January to March) quarter of this year is the best time for us to increase fuel prices,"" said Sri Mulyani Indrawati, State Minister for National Development Planning.Since President Yudhoyono's government came to power in October, it has indicated its intention of raising domestic fuel prices by cutting subsidies.Indonesia's previous government, led by President Megawati Sukarnoputri, also attempted to cut subsidies in 2003, but was forced to back down in the face of public protests.
President Susilo Bambang Yudhoyono's government has said it wants to curb fuel subsidies and direct the money into aid programmes for the poor.Indonesia pays subsidies to importers in order to stabilise domestic fuel prices, but higher oil prices have forced the government to spend more on holding prices down.Millions of people were left homeless in Indonesia Aceh's region following the earthquake and tsunami disaster in late December.

"
12,"Peugeot deal boosts Mitsubishi

Struggling Japanese car maker Mitsubishi Motors has struck a deal to supply French car maker Peugeot with 30,000 sports utility vehicles (SUV).

Last month, it signed a production agreement with Japanese rival Nissan Motor to supply it with 36,000 small cars for sale in Japan.Mitsubishi Motors has forecast a net loss of 472bn yen in its current financial year to March 2005.In January, Mitsubishi Motors issued its third profits warning in nine months, and cut its sales forecasts for the year to March 2005.The alliance comes as a badly-needed boost for loss-making Mitsubishi, after several profit warnings and poor sales.Falling sales have left Mitsubishi Motors with underused capacity, and the production deal with Peugeot gives it a chance to utilise some of it.

It has been making cars for Nissan since 2003.
"
13,"The Telegraph Group says the cuts are needed to fund an Â£150m investment in new printing facilities.The Telegraph has announced no plans to go tabloid although both The Independent and The Times have seen circulation rise since shrinking in size.

The National Union of Journalists said it stood strongly behind the journalists and did not rule out a strike.""Journalists are the lifeblood of any newspaper, and maintaining the quality of The Daily Telegraph and The Sunday Telegraph for our readers is vital,"" he said.Telegraph newspapers axe 90 jobs

The Daily and Sunday Telegraph newspapers are axing 90 journalist jobs - 17% of their editorial staff.

Many newspapers are investing in new printing machinery that enables them to print more colour pages, or in some cases, have colour on every page.The two Telegraph titles currently employ 521 journalists.

"
14,"""We reckon it's going to cost European air passengers - not the airlines, the airlines have no money, it has to be paid by passengers - 1.5bn euros, that's over Â£1bn a year loaded onto European passengers,"" Mr Clarke said.When this happens against a passenger's will, airlines will now have to offer compensation.Air passengers win new EU rights

Air passengers who are unable to board their flights because of overbooking, cancellations or flight delays can now demand greater compensation.

Andy Clarke, ERAA director of air transport, said that the EC advice misleads customers as it leads them to believe that airlines could be liable for payouts if flights are delayed because of bad weather.

However, only scheduled flight operators were obliged to offer compensation in cases of overbooking and they did not have to offer compensation for flight cancellations.

The EU decided to increase passenger compensation in a bid to deter airlines from deliberately overbooking flights.In addition, if a flight is cancelled or delayed for more than two hours through the fault of the airline, all passengers must be paid compensation.

"
15,"China keeps tight rein on credit

China's efforts to stop the economy from overheating by clamping down on credit will continue into 2005, state media report.

Growth in China remains at a breakneck 9.1%, and corporate investment is growing at more than 25% a year.The curbs were introduced earlier this year to ward off the risk that rapid expansion might lead to soaring prices.The breakneck pace of economic expansion has kept growth above 9% for more than a year.There were also fears that too much stress might be placed on the fragile banking system.A low exchange rate - China's yuan is pegged to a rate of 8.28 to the dollar, which seems to be in relentless decline - means Chinese exports are cheap on world markets.China has thus far resisted international pressure to break the link or at least to shift the level of its peg."
16,"The company has also sued former auditors and financial advisors for damages.The firm sought bankruptcy protection in December 2003 after disclosing a 4bn-euro hole in its accounts.On Tuesday, the company's administrator, turnaround expert Enrico Bondi, sued Morgan Stanley, its former banker, to return 136m euros relating to a 2003 bond deal.That brought to 49 the number of banks that Mr Bondi has sued, a mass of legal action that could bring in as much as 3bn euros.But a crucial factor for the company's future is the legal unwinding of its intensely complex financial position.Its brands, well-known in Italy and overseas, have continued to perform strongly, however, and have barely lost revenue since the scandal broke.

Parmalat boasts doubled profits

Parmalat, the Italian food group at the centre of one of Europe's most painful corporate scandals, has reported a doubling in profit.

"
17,"India's foreign currency rating is now one notch below investment grade, which starts at 'BBB-'.India's rupee hits five-year high

India's rupee has hit a five-year high after Standard & Poor's (S&P) raised the country's foreign currency rating.

The increase has put it on the same level as Romania, Egypt and El Salvador, and one level below Russia.
""Money has moved out from India in the first two or three weeks of January into other markets like Korea and Thailand and this upgrade should lead to a reversal.""""The upgrade is positive and basically people will use it as an excuse to come back to India,"" said Bhanu Baweja, a strategist at UBS.The rupee climbed to 43.305 per US dollar on Thursday, up from a close of 43.41.With Indian assets now seen as less of a gamble, more cash is expected to flow into its markets, buoying the rupee.

"
18,"Investment bank Morgan Stanley has forecast that India's mobile market is likely to grow by about 40% a year until 2007.Potential foreign investors will however need government approval before they increase their stake beyond 49%, Mr Maran said.""It is a positive development for carriers and the investment community, looking to take a longer-term view of the huge growth in the Indian telecoms market,"" said Gartner's principal analyst Kobita Desai.Analysts and investors have welcomed the government decision.India widens access to telecoms

India has raised the limit for foreign direct investment in telecoms companies from 49% to 74%.

Key positions, such as those of chief executive, chief technology officer and chief financial officer are to be held by Indians, he added.

""We need at least $20bn (Â£10.6bn) in investment and part of this has to come as foreign direct investment,"" said Mr Maran."
19,"What are your experiences with call centres?In what Dimension Data calls an ""alarming development"", the average induction time for a call centre worker fell last year from 36 to just 21 days, leaving ""agents not equipped to deal with customers"".Call centre users 'lose patience'

Customers trying to get through to call centres are getting impatient and quicker to hang up, a survey suggests.

One possible reason for the lack in patience, Ms Diemont says, is the fact that more customers are calling 'on the move' using their mobile phones.

The drop in patience comes as the number of calls to call centres is growing at a rate of 20% every year.Poor training frustrates both call centre workers and customers.However, companies that decide to ""offshore"" their operations are driven not just by cost considerations."
20,"Rank now aims to concentrate on its gaming, bars and hotels business, including extending its Hard Rock brand to its casinos - trials of which have been a success.Rank 'set to sell off film unit'

Leisure group Rank could unveil plans to demerge its film services unit and sell its media business, reports claim.

The move left the group with three core divisions: gaming, Hard Rock and Deluxe Films, which provides technical services to Hollywood studios.

Rank, formerly famous for the Carry On series, will expose the shake-up at the announcement of its results on Friday, the Sunday Telegraph reported.It also owns Deluxe Media, which makes and distributes DVDs and videos.Formed in the 1940s the firm was a leading UK film producer and cinema owner for many years.A spokesman for the firm refused to comment on the reports, but said any results from the demerger study were likely to be set out when it unveiled its results on Friday."
21,"With unemployment stuck above 4 million for years, the government of Chancellor Gerhard Schroeder has put job creation at the top of the agenda.German unemployment rose 7,000 in November to 4.464 million people, or 10.8% of the workforce.The seasonally adjusted rise showed a smaller rise than expected, as government measures to encourage job creation began to take effect.""Job creation measures probably prevented a stronger increase in the seasonally adjusted numbers.But officials said stagnant growth was still stifling the job market.The number of people out of work in Europe's largest economy has risen for the tenth straight month as growth remains stubbornly slow.

""But growth of 0.1%... in the third quarter is still insufficient to deliver positive momentum to the labour market."""
22,"Also on Friday, France's industrial output for December was released, showing 0.7% growth.Mixed signals from French economy

The French economy picked up speed at the end of 2004, official figures show - but still looks set to have fallen short of the government's hopes.

Service sector activity improved in January, hitting a seven-month high.It leaves GDP up 2.3% for the full year, but short of the 2.5% which the French government had predicted.

""They send a positive signal of a rebound in output... and open the way for a continuation in that trend into the New Year.""But unemployment remains high at about 10%.
""The numbers are good,"" said David Naude, economist at Deutsche Bank."
23,"US trade gap hits record in 2004

The Commerce Department said the trade deficit for all of last year was 24.4% above the previous record - 2003's imbalance of $496.5bn.Foreign oil exports surged by 35.7% to a record $180.7bn, reflecting the rally in global oil prices and increasing domestic demand.Democrats claim the administration has not done enough to clamp down on unfair foreign trade practices.The US consumer's appetite for all things from oil to imported cars, and even wine and cheese, reached record levels last year and the figures are likely to spark fresh criticism of President Bush's economic policies.

The gap between US exports and imports hit an all-time high of $671.7bn (Â£484bn) in 2004, latest figures show.

Imports were not affected by the dollar's weakness last year."
24,"The court ruling is a blow to efforts to get damages for the sale of Yugansk, which Yukos claims was illegally sold.Yukos claimed it sought help in the US because other forums - Russian courts and the European Court of Human Rights - were either unfriendly or offered less protection.The US court's jurisdiction had been challenged by Deutsche Bank and Gazpromneft, a former unit of Russian gas monopoly Gazprom which is due to merge with Rosneft.""The vast majority of the business and financial activities of Yukos continue to occur in Russia,"" Judge Clark said in her ruling.Russia had indicated it would in any case not abide by the rulings of the US courts.

Yukos loses US bankruptcy battle

A judge has dismissed an attempt by Russian oil giant Yukos to gain bankruptcy protection in the US.

Yukos filed for Chapter 11 protection in Houston in an unsuccessful attempt to halt the auction of its Yugansk division by the Russian authorities."
25,"The affected vehicles in the product recall are from the 2004 and 2005 model years, GM said.This is because of possible malfunctions with the braking systems.Safety alert as GM recalls cars

The world's biggest carmaker General Motors (GM) is recalling nearly 200,000 vehicles in the US on safety grounds, according to federal regulators.

In addition, the car giant is calling back 17,815 Buick Raniers, Chevrolet Trailblazers, GMC Envoys and Isuzu Ascenders from the 2005 model years because the windshield is not properly fitted and could fall out in a crash.News of the recall follows an announcement last month that GM expects earnings this year be lower than in 2004.However, GM stressed that it did not know of any injuries related to the problems.GM is also recalling 19,924 Cadillac XLR coupes, SRX SUVs and Pontiac Grand Prix sedans from the 2004 model year."
26,"Steel firm 'to cut' 45,000 jobs

Mittal Steel, one of the world's largest steel producers, could cut up to 45,000 jobs over the next five years, its chief executive has said.

A Mittal Steel spokeman said that no decisions on job cuts have been made yet.Mr Mittal told US investors that once the acquisition of International Steel Group was completed, the company would aim to reduce its workforce by between 7,000 and 8,000 annually.""We are investing in modernisation so employees will go down,"" Mr Mittal told the conference in Chicago.

Mittal Steel was formed last year when Mr Mittal's LNM Holdings merged with Dutch firm Ispat.Mittal Steel has operations in 14 countries.Many of its businesses - particularly those in eastern Europe - were previously state owned and have huge workforces."
27,"Strong demand triggers oil rally

Crude oil prices surged back above the $47 a barrel mark on Thursday after an energy market watchdog raised its forecasts for global demand.

The International Energy Agency (IEA) warned demand for Opec's crude in the first quarter would outstrip supply.The fresh rally in crude prices followed gains on Wednesday which were triggered by large falls in US crude supplies following a cold spell in North America in January.""I think that prices are now beginning to set a new range and it looks like the $40 to $50 level,"" said energy analyst Orin Middleton of Barclays Capital.
The US Department of Energy reported that crude stockpiles had fallen 1m barrels to 294.3m. On top of that, ongoing problems for beleaguered Russian oil giant Yukos have also prompted the IEA to revise its output estimates from Russia - a major non-Opec supplier.The IEA raised its estimate of 2005 oil demand growth by 80,000 barrels a day to 84 million barrels a day.The Paris-based IEA watchdog, which advises industrialized nations on energy policy, said the upward revision was due to stronger demand from China and other Asian countries."
28,"The Vestey Group said it had owned the land since 1920 and would co-operate fully with the authorities.UK firm faces Venezuelan land row

Venezuelan authorities have said they will seize land owned by a British company as part of President Chavez's agrarian reform programme.

Last month, the government said it had identified more than 500 idle farms and had yet to consider the status of a further 40,000.But a spokesman added: ""Agroflora is absolutely confident that what it has submitted will demonstrate the legality of its title to the land.""The firm, whose Agroflora subsidiary operates 13 farms in Venezuela, insisted that it had complied fully with Venezuelan law.Prosecutors in the south of the country have targeted Hato El Charcote, a beef cattle ranch owned by Agroflora.""

Controversial reforms passed in 2001 give the government the right to take control of private property if it is declared idle or ownership cannot be traced back to the 19th Century.

"
29,"But the outlook was worst for the 12-member eurozone bloc, with already sluggish growth forecasts slipping to 1.8% from 2.0% this year and 1.9% from 2.4% in 2005, the OECD said.""The recovery that was underway, and has been interrupted a bit by the oil shock this year, would then regain momentum in the course of 2005.""Soaring oil 'hits world economy'

The soaring cost of oil has hit global economic growth, although world's major economies should weather the storm of price rises, according to the OECD.

""Supported by strong balance sheets and high profits, the recovery of business investment should continue in North America and start in earnest in Europe,"" it added.If the oil price does not rise any further, then we think the shock can be absorbed within the next few quarters,"" Vincent Koen, a senior economist with the OECD, told the BBC's World Business Report.""There are nonetheless good reasons to believe that despite recent oil price turbulence the world economy will regain momentum in a not-too-distant future,"" said Jean-Philippe Cotis, the OECD's chief economist.Overall, the report forecast total growth of 3.6% in 2004 for the 30 member countries of the OECD, slipping to 2.9% next year before recovering to 3.1% in 2006."
30,"Irish markets reach all-time high

Irish shares have risen to a record high, with investors persuaded to buy into the market by low inflation and strong growth forecasts.

The economy is set for strong growth in 2005 while interest rates remain low.

""Buoyant economic conditions are set to continue in Ireland over the next few years and Irish equities continue to offer quality growth at a reasonable valuation.Ireland's economic 'miracle' is enjoying a second wind, with 5% growth forecast for 2005 and 2006.""We have seen good economic data on Ireland which benefits the financial stocks.""""It is still looking good,"" he told Reuters.Allied Irish Banks, Ireland's biggest company by capitalisation, touched a five year peak while Bank of Ireland shares rose to their highest level since August 2002.

"
31,"Japanese banking battle at an end

Japan's Sumitomo Mitsui Financial has withdrawn its takeover offer for rival bank UFJ Holdings, enabling the latter to merge with Mitsubishi Tokyo.

Sumitomo's exit ends the most high profile fight in Japanese bank history.

Sumitomo, Japan's third-largest bank, tabled a higher offer for UFJ than its rival, valuing the company at $35bn.

""We believe the market and most investors accept a UFJ-MTFG merger,"" Sumitomo said in a statement.""

Mitsubishi's takeover of UFJ - which will be Japan's largest-ever takeover deal - will still have to be approved by shareholders of the two firms.""Given the ongoing integration of UFJ and MTFG operations, persisting with our proposal may not be in the best interests of our shareholders or UFJ's.However, this is expected to be a formality."
32,"Rich grab half Colombia poor fund

Half of the money put aside by the Colombian government to help the country's poor is benefiting people who do not need it, a study has found.

However, some large properties are paying less in tax as they are situated inside poor areas, which benefit from cheaper utilities such as electricity and water, government research found.""Resources are more than enough to reduce poverty and there is no need for more tax reforms but a better distribution,"" deputy planning director Jose Leibovich said.

Sound distribution of the cash could cut poverty levels to 36% from 53%, the government believes.With a good distribution of such subsidies and economic growth of just 2%, by 2019 poverty could fall as low as 15.3%, he said.
He added that the government is now examining the report, but warned there would be no easy solution to the problem.But it also found 12.1 trillion pesos was going to the richest part of the population, rather than to those in need."
33,"Rover deal 'may cost 2,000 jobs'

Some 2,000 jobs at MG Rover's Midlands plant may be cut if investment in the firm by a Chinese car maker goes ahead, the Financial Times has reported.

But Rover told BBC News that reports of job cuts were ""speculation"".""SAIC is extremely concerned to ensure that its money is used to invest in the business rather than be distributed to the shareholders,"" the newspaper quotes a source close to the Chinese firm.Rover confirmed the tie-up would take place ""not very far away from this time"".

SAIC says none of its money will be paid to the four owners of Rover, who have been accused by unions of awarding themselves exorbitant salaries, the FT reports.""This is a very crucial and delicate time and our efforts are targeted to securing new models for the company which will mean jobs for our people,"" he said.Rover bosses have said they are ""confident"" the Â£1bn ($1.9bn) investment deal would be signed in March or early April.

"
34,"Ad firm WPP's profits surge 15%

UK advertising giant WPP has posted larger-than-expected annual profits and predicted that it will outperform the market in 2005.

Analysts say the unit sell could sell for up to Â£350m. WPP in recent years has also bought firms such as Ogilvy & Mather and Cordiant Communications.During the year WPP bought US rival Grey Global, creating a giant big enough to rival sector leader Omnicom.

The company said the US Congressional elections and the FIFA World Cup are likely to present advertising opportunities in the near future.The long-term outlook looks ""very favourable"" because of media and technology developments and the strength of the US economy, WPP said.
Chief Executive Martin Sorrell on Friday told Reuters news agency that WPP had submitted a proposal for United Business Media's NOP World market research unit.It also includes the firms Young & Rubicam and J Walter Thompson."
35,"Section 404 of the Sox Act, as the legislation is nicknamed, calls for all firms to certify that their financial reporting is in line with US rules.The SEC said it had taken into consideration the fact that foreign companies were already working to meet more onerous financial reporting rules in their home countries.Many foreign firms had protested that the SEC was imposing an unfair burden.""I don't underestimate the effort (compliance) will require...but this extension will provide additional time for those issuers to take a good hard look at their internal controls,"" said Donald Nicolaisen, the SEC's chief accountant.
US gives foreign firms extra time

Foreign firms have been given an extra year to meet tough new corporate governance regulations imposed by the US stock market watchdog.

The latest delegation from the CBI met SEC officials on Wednesday, just before the decision to relax the deadline was announced."
36,"Mr Tsutsumi's fall from grace follows the arrests of several other top executives in Japan as the authorities try to curb the murky business practices which were once widespread in Japanese companies.His is the latest in a series of arrests of top executives in Japan over business scandals.The illegitimate third son of a rich father, who made his money buying up property as Japan rebuilt after World War II, he has described the demands his father made.But last year, he was forced to resign from all the posts he held in his business empire, after being accused of falsifying the share-ownership structure of Seibu Railways, one of his companies.""I felt enormous pressure when I dined with him and it was nothing but pain,"" Tsutsumi told a weekly magazine in 1987.Now Mr Tsutsumi faces criminal charges and the possibility of a prison sentence because he made it look as if the 10 biggest shareholders owned less than this amount.Under Japanese stock market rules, no listed company can be more than 80% owned by its 10 largest shareholders."
37,"A year ago, debt was more than 11bn euros higher.Sales of stakes in firms including Russia's OAO Mobile Telesystems raised 1.17bn euros.Deutsche Telekom saw strong fourth quarter profits on the back of upbeat US mobile earnings and better-than-expected asset sales.

That gives them some head room to invest in growth now,"" said Hannes Wittig, telecoms analyst at Dresdner Kleinwort Wasserstein.T-Mobile USA, the company's American mobile business, made a strong contribution to profits.Deutsche Telekom sees mobile gain

German telecoms firmNet profit came in at 1.4bn euros (Â£960m; $1.85bn), a dramatic change from the loss of 364m euros in 2003."
38,"Chinese wine tempts Italy's Illva

Italy's Illva Saronno has agreed to buy 33% of Changyu, the largest wine maker in China.

Yantai State Asset Management Bureau - a government agency in the north-eastern city of Yantai - owns 55% of Changyu.The consumption of wine in China is still low, at just 0.22 litres per capita, said the US Agriculture Department.The remaining 12% will be retained by the Yantai city government.Chinese wine sales are growing, the US Agriculture Department said, with wine sales in 2003 up 25% at 61.1bn yuan.

China is encouraging state-owned companies to sell shares to foreign investors.The Italian liqueur maker will acquire the shares from the Yantai State Asset Management Bureau."
39,"Umbro profits lifted by Euro 2004

UK sportswear firm Umbro has posted a 222% rise in annual profit after sales of replica England football kits were boosted by the Euro 2004 tournament.

The firm, reporting its first annual results since listing on the London Stock Exchange in June, said the UK market had seen sales growth of 8% last year.In January, Umbro announced its sponsorship agreement with Chelsea, which gave Umbro the lucrative right to make replica shirts, would end in 2006, five years earlier than expected.It hopes 2005 sales will benefit from the launch of a new England replica shirt ahead of the 2006 World Cup.Shares in Umbro were up 1.76% at 115.5 pence in morning trade.
Umbro supplies more than 150 teams across the world including the national sides of Ireland, Sweden and Norway.Umbro, which recently lost sponsorship deals with Chelsea and Celtic, said on Thursday it had signed a new four-year agreement with Scottish club Rangers."
40,"Fed chief warning on US deficit

Federal Reserve chairman Alan Greenspan has warned that allowing huge US budget deficits to continue could have ""severe"" consequences.

Speaking to the House Budget Committee he urged Congress to take action to cut the deficit, such as increasing taxes.He called on Congress to cut promised benefits for retirees, as the promised benefits for the soon-to-retire baby boom generation were much larger than the government could afford.

Meanwhile any move to narrow the deficit gap by raising taxes could pose a significant risk to the economy by dampening growth and spending, he added.Recent increases in defence and homeland security spending were also not expected to continue indefinitely, which should cut some costs.As US growth gathers steam and incomes rise that should lead to a narrowing of the deficit.""I fear that we may have already committed more physical resources to the baby-boom generation in its retirement years than our economy has the capacity to deliver."
41,"UK Coal said it was making ""significant progress"" in shaking up the business.UK Coal plunges into deeper loss

Shares in UK Coal have fallen after the mining group reported losses had deepened to Â£51.6m in 2004 from Â£1.2m.

The UK's biggest coal producer blamed geological problems, industrial action and ""operating flaws"" at its deep mines for its worsening fortunes.The recent rise in coal prices has failed to benefit the company as most of its output had already been sold, it said.The South Yorkshire company, led by new chief executive Gerry Spindler, said it hoped to return to profit in 2006.""We have a long journey ahead to fix these issues.In early trade on Thursday, its shares were down 10% at 119 pence.It expected 2005 to be a ""transitional year"" and to return to profitability in 2006.

"
42,"Saudi ministry to employ women

Women will be employed in Saudi Arabia's foreign ministry for the first time this year, Foreign Minister Prince Saud Al-Faisal has been reported as saying.

The newspaper said many Saudi women found his explanation ""a pitiful excuse for not employing women"".""Our educational reforms have created a new generation of highly-educated and professionally trained Saudi women who are acquiring their rightful position in Saudi society,"" Arab News quoted Prince Saud as saying.""
The move comes as the conservative country inches open the door to working women.""I am proud to mention here that this year we shall have women working in the Ministry of Foreign Affairs for the first time.Women now make up more than half of all graduates from Saudi universities but only 5% of the workforce."
43,"However, the economy's fragile recovery remains dependent on an upturn in consumer spending, a fall in the value of the yen and an improvement in global economies.Gross domestic product fell by 0.1% in the last three months of 2004.Japan economy slides to recession

On Wednesday, the government revised growth figures from earlier in 2004 which, when taking into account performance in the most recent period, effectively tips Japan into recession.

Figures released by the government's Cabinet Office showed that GDP, on an annualised basis, fell 0.5% in the last three months of 2004.A recession is commonly defined as two consecutive quarters of negative growth, although the Japanese government takes other factors into account when judging the status of its economy.

Japan's economy has seen stretches of moderate growth over the past decade but has periodically slipped back into recession.
"
